BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10575N,Empresas AquaChile - Cluster - Canal Temuan,Chile,salmonfarm,Salmon,fallow,
F10576,Jincheng Aquaculture Base (Lanxi),China,farm,Tilapia,9/7/2015,
F10584B,Marine Harvest Chile - Peldehue,Chile,salmonfarm,Salmon,fallow,
F10584D,Marine Harvest Chile - Cluster -Puchilco,Chile,salmonfarm,Salmon,3/2/2015,
F10586A,Marine Harvest - Cluster -Butan 1,Chile,salmonfarm,,5/6/2015,
F10595,Promusterra. S.A.,Ecuador,farm,Shrimp,6/26/2015,
F10598,Granjas Marinas - Honduras - San Bernard,Honduras,farm,Shrimp,6/30/2015,
F10611,Shri. Kanumuri Subramanyeswara Raju Aqua Farms,India,farm,Shrimp,1/16/2015,
F10615E,Mangala Seafoods / Sunnyvale IOM 1 - Patiel Aqua - Farm 2,India,farm,Shrimp,5/10/2015,
F10620E,Seafresh Cluster 1 - BC Farm,Thailand,farm,Shrimp,4/10/2015,
F10625H,Satya Sea Foods IOM 1 - DKVPVS Raju Farms - 2,India,farm,Shrimp,6/8/2015,
F10628C,Choice Trading Corporation Pvt Ltd IOM 2 - K. Satyanarayana Raju Farm,India,farm,Shrimp,5/17/2015,
F10629A,"Sea Wealth Frozen Food Co., Ltd. IOM 1 - Anantasit Farm",Thailand,farm,Shrimp,4/17/2015,
F10632C,Apex Frozen Foods Pvt Ltd IOM 1 - Marripalem,India,farm,Shrimp,5/5/2015,
F10648,Vinh Hoan Corporation - Tan Khanh Trung Farm,Viet Nam,farm,Pangasius,8/12/2015,
